text,sentiment
now the pic wont load up on twitter,negative
 boo...I thought being on the list meant it would be good to go  looks like i`ll have to get a CF adapter for my dslr!,negative
 I`m so jealous! Wish I could join u. It`s so cold in LA right now.,negative
No one loves me  Brittany forgot my flowers...,negative
What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,negative
honestly i cannot figure this twitter thing out,negative
Feeling sick at stomach today,negative
Having trouble syncing my iphone to my work exchange email  help!!!!,negative
Officially out of my apt  Learned some stuff about the crazy neighbors that used to live across the hall....scary!,negative
"So it`s rainy in Georgia, what do I do? Wear bright colors and hope the sun comes out!  (I`m doubtful that this is going to work)",negative
Hiiiiii! I texted u the other day and u didn`t respond  what`s up with that?!,negative
 Haha! maybe I should try that. The insomnia is kickin` my butt,negative
 O dear. so you`re going to be **** that kiddoe and I`m going to sit there doing..  nothing! awesome  WHERES THE SHOPPING?!<3,negative
_78 I`m sowwy u have to work w/an idiot. I will call u if u want. Just to break up ur day.,negative
lousy **** landlord.   need to focus on kid`s packing but cant . nevermind sew sleeping bag,negative
 This definitely separates a professional robber & from an amateur one!,negative
"God, I HATE scary movies. They are not at all. I`m such a wimpy.",negative
Super bummed the Whitecaps game plans with friends fell through...I now need to be home by 7 to let the sitter go,negative
Bored... Some vector ****... Off to work after this class..,negative
  dont make me sad... i do agree tho it does need some more of SA`s magical lyrics,negative
i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.,negative
"Bah, here I was out in the sun in my new hammock, drinking beer, playing the guitar and singing, and the mosquito chased me inside",negative
"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",negative
Ill in bed my stomach is killing me,negative
"missing my man, two months is so long to not see him",negative
I want to watch the movie 'Up' but no one wants to watch it with me,negative
stoped broadcasting on blogtv coz they all left  and was on my own and one one came any way xD,negative
"I have to admit, I`m a bit bummed out that I wasn`t with my friends walking today....",negative
no more arrested development. i am sad.,negative
" I`m still at Disney (just trained at Soarin), Rose is the same, we applied for an apartment last night, and Eric lost his job",negative
My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,negative
"  thats it, rub it in that ur seeing morrissey! il just go and cry in the corner  x",negative
sitting in the car with my cat. he keeps meowing and i feel so bad,negative
emily is over tonight XD work experience is over. Jen I`m  going to miss seeing you like everyday,negative
wondering if anyone has seen my cell phone i cant find it anywhere,negative
I need to get away. I wish I had money to go travel for a bit. I miss my east coast friends.,negative
 it`s depressing,negative
Missing you all deeply,negative
 shud up! lol my device thing doesn`t work,negative
" but have you got , and twitted a link to it. No? Fail.",negative
Oh... I miss the Piano.,negative
um... so I don`t think my text msgs have a 'subject line' ... I fail,negative
school and the guy i like was talking to the girl i cant stand at all!!  ppl are just sooo...ughhhh!!,negative
my sensors don`t seem to want to last for more than 3 1/2 days,negative
 Nofair! My BK only had Uhura and Nero left.,negative
"Worried about Bry, he has bronchitis and a sinus infection   Poor baby.",negative
Hate washing my hair! Because then it has to be dried & straightened.  And then i find the grey hairs in the middle layers of my hair,negative
 WHO IS SAYING ALL THIS...are you ignoring me *frowns*,negative
" Sorry to hear that, dude",negative
GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don`t worry lol  cry cry cry,negative
AHHHH! Cant find anything because I have way too much open,negative
"I feel like ive done the London marathon, I ach all over",negative
"Its not looking too good outside  if this continues, i feel a movie night coming on...",negative
"can`t gauge the time of day in my office anymore... It`s worse than a friggin` casino in here... no waitresses, smoking, or booze",negative
my fab broke,negative
Worried about the reply after sending THE SMS to 78277.,negative
Just finished cleaning the bathroom.  Now I smell like clorox,negative
Its times like these that I miss Manila. I`m not feeling up to myself lately,negative
" haha.. yes, i`m jealous! i don`t have money to do all that!",negative
i feel less than nothin`.. lower than zero..,negative
 nah will didn`t tell diego so we at some donminican spot getting **** up,negative
 a great song by East Clubbers,negative
 So sorry to hear about your mom! that really sucks,negative
" I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",negative
About to go to my last theater lunch  im gonna cry.,negative
Got people don`t let me skip sci pratical becos skola is impt and cannot waste my parents money.  Nt fair.,negative
Scared  waiting for the call,negative
"Jonas and Demi, I miss you  / NIIICK, in my soul, ASASGDYGYASDGY ?",negative
"Math was not fun at all. Oh well, i get to cook as soon as i get home.",negative
Ohh boy my babys tooth came out !,negative
"Woe, it`s definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches `til you reach your seat",negative
is SO frustrated!!! I`m stuck at home without any transportation to the global god conference!!! Ahh,negative
SO BORED.,negative
" get better omg i still dont believe that i didn`tgot a picture with you  it`s soo sad, i don`t now when i`m gonna see u again",negative
Just drove by fisher and I feel so sad,negative
#Supernatural at 9:30pm on #Ten.. Counting down..,negative
pics arent working for me here on twitter,negative
dang i miss you  goodnight,negative
Bored out of my mind!  LOL,negative
Getting into the swing of things. I miss someone,negative
Hmph. This is nowhere near as effective as it was a few mins ago. I wonder if it was a coincidence. FOLLOWERS: please report ur findings,negative
Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,negative
_Molotov Go much bamboo? Would you like to attempt to structure a sentence that makes sense? Why did i fail english and others pass?,negative
a female robin just flew into my window and I watched her die in my bushes...  i think i am going to cry now...,negative
Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this **** night shift........,negative
not feeling well at all today! ugh cant I just go home.,negative
 #MusicMonday I agree it`s just an excuse for me to tweet music for hours on end,negative
"Laughing for no reason...maybe its because its 2:27 and I`m tired, haha. Maybe i should go to bed  Night!",negative
"my camera`s being a doucheeee, it stopped working",negative
"Forced myself out of bed this morning, but failed to cycle in. ****.",negative
  no room for me smh,negative
Ahhh I`m engulfed in shooooes. Who told me to buy so maany **** shoes,negative
Missing how it used to be,negative
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
Hadnt cried in such a long time,negative
finally Mike0hh`s birthday <3 can`t wait to **** ruin it,negative
  I need to come spend some time on your roof - I miss you &     double date in a couple of weeks?,negative
"Jesus...I`m being SLAMMED via DM`s from the Papaya lobbyists.  OK. Holy ****: Mangosteen, Durian or Papaya...or cybersecurity on a stick.",negative
" i just went to find that unity girl on bebo, i cant find her! i fail at bebo stalking",negative
 seriously...it only gets sadder,negative
No betta nest  I think despite the heater it gets too chilly at night,negative
" Oh how cool!!!, ok so for your head just laydown and put ice on it, that should heep the swelling down, I feel really bad",negative
": I saw US Postal was hiring, but once I was done filling out the pre-application thingy it didn`t show me jobs open in the area.",negative
Our plane had landed!! FINALLY gonna get to board...an hour late.  stupid rain!!!,negative
"twit twit twitter! trying to 'legally' watch a movie online, its not happening",negative
Another Friday night in. Man being skint is rubbish.,negative
can`t sleep... havent finish my homework  **** IT !,negative
I dont believe in my eyes or should I say on my browser? OMG OMG OMG,negative
writing the first 'ShowStoppers' entry Just lost an hours work due to server issues,negative
"  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public",negative
 Who doesn`t know who The Supervillians are Fails. I saw you both in January at The Warfield in SF.  LEGIT SHOW FOR SURE.,negative
 ouch  does picking your nose count?,negative
Roasting to most probably death,negative
gosh! i`m freakin` bored! talk to me!,negative
"Is in the badbooks again, don`t know why I bother",negative
So tired and I don`t know why,negative
Taking 40 underpriveledged kids to the circus 2moro. BIG day planned & I still aint feeling 100%  so nervous right now..,negative
What`s with the mass exodus from work at half three?  It makes me sad,negative
Bye twitter & FB world! I`m at the San Francisco airport ready to board Air China. Not sure if I`ll have Internet access,negative
Turned my alarm off this morning because I thought it was Saturday. Had to rush to get ready for work because its def not Saturday   #FAIL,negative
"he switches off his cellphone!! huaaaaa, i cant sleep  buzz me bebe..",negative
It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take `em? #R2IMT,negative
: I will press that ignore button,negative
sometimes the fact that my health for the lack of a better word SUCKS really scares me,negative
"chillin on break eatin some grub. pretty burnt out had an eventful day. wanting to go to the movies with Ian, not happening though.",negative
has had AWFUL hiccups today and now can`t fall asleep because of them,negative
 I`m sorry you`re not having the best day - neither am I though  Are you working tonight??,negative
Stupid shopping bags left a red mark on my arm,negative
 I wanted to see it until I saw that it was PG 13. That totally bummed me out.,negative
**** elora danan are breaking up  too and im missing their last nsw show too  def need to hit up melbs !! someone come with ?,negative
Even ARNOLD couldn`t save the parks  http://bit.ly/WSM5J  - How is this providing jobs?,negative
 Kennedy was re-injured at RAW on Monday. He`s got s serious muscle issue in his back and a broken wrist.,negative
New issue of  in the office...desperately want to flick through but have so much to do. It`ll have to wait,negative
 LOL too bad he`s taken!!!!!!!,negative
noone wants to talk to me  lol,negative
was late,negative
there`s nothing worse than getting a text about a dog that was abandoned in your town,negative
  hahaha well its try its so ugly,negative
I can`t eat a hot pocket anymore without thinking about Jim Gaffigan,negative
"Hey Fused Gaming, FusedGaming Forums have been delayed until 9PM PT/12AM ET tonight... sorry   (abean2007 live > http://ustre.am/1ntp)",negative
Can`t I mix and match  Dumb drive in!,negative
 That doesn`t sound fun,negative
 not but I went to his page and it made me hungry,negative
This is what I have to give a 7 day old baby  poor thing  http://yfrog.com/6pwwlj,negative
I knew I should`ve worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,negative
 she could have been a lost dog  poor girl,negative
" lol, we are staying in, Craig got footy, so Molly and me missing all the good weather, we have no buggy either.",negative
Jumped on a train to visit or rescue my mom. Totally forgot my sweatshirt  And forgot to bring my make up! First time ever forgetting :/,negative
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",negative
NO! Our TV`s busted  The screen turned white for about a nanosecond while it made a quick 'popping' sound.,negative
"Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.",negative
I`m exhausted  new song 'one day' on myspace check out http://www.myspace.com/tannajoy,negative
working from home and ran out of coffee!,negative
 kenny u alive!!!...I`m here getting da hair done..to bad I`m not chillin w/ u todat  kinda sad,negative
" yeah, I just realise the organiser dun let performing artist/djs drink on stage  tight malaysian laws n rules here",negative
huh? its 1 am already? shucks,negative
im quite upset do I really look under 15 :| they must have thought i was 14 or something ! Whatt ! thats unfair,negative
why the hell is it raining!! i hate the rain.,negative
" Yeah, `Age of Aquarius` IS a pretty scary song",negative
Missed the play,negative
 because your mean to me and it makes me sad!,negative
can`t tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn`t cover it.  urgh,negative
 I can`t be mean without you.,negative
is bored at work,negative
_craig Tried to follow one of your #FF recommendations but 'have been blocked from following by request of the user',negative
"meh, almost didn`t sleep, ain`t finished anything, I`m close to cancel the Dokomi",negative
Someone keyed my car.,negative
Massive headache,negative
says BAD TRIP! (angry)  http://plurk.com/p/wxshi,negative
 ugly. What programmes do you have open?,negative
Ugh its really hot today already and its not even noon yet  i want ice water!,negative
 My lil` old Mac did the same thing...and it was never to charge again.,negative
still hoping for a job... but now i have strep so looks like i wont be looking around places for the next couple of days,negative
My dad just told me that he wants to put me up for sale on craigslist,negative
 again your fault  i didnt make u leave,negative
I just lost my favorite pen  good thing I have a back up =D,negative
 1000 = make sure it has the word poo or balls in it  Underbelly DOES suck balls... I gave up on it in wk 3.,negative
" it is very unlucky  the day wasn`t the same without you! i hope to see you on wednesday though, right? x",negative
blahh i`m tired and i gotta go to the airport to pick my mom up! && im bored but on the upside im listening to the backstreet boys,negative
 I never was good at platform games...,negative
 Hahaha I miss Bradddd and all of the guys and KEITH.,negative
Looks like no diamond ball for me,negative
Cleaning + finding stuff to sell. I`m so poor.,negative
misses home on the farm,negative
 ouuhh dont cry  i feel so sad right now,negative
...And omg whats this dirty letter from Danny everyones been on about? Its absolutely none of my business but I still feel left out lol,negative
Bored and lonely at work,negative
so much to do by 1 pm. i don`t think i`m going to get it all done,negative
  what`s wrong with debbie?,negative
 I am very jealous.  I was supposed to go see it in Seattle with a friend this summer but she had to bail out because of work,negative
  Know I`m not the only one.  Just harder on me.,negative
"W4M: No clever headline, Sorry  (Salt Lake City) 29yr http://tinyurl.com/mpoghc",negative
 It is a sad commentary is it not?,negative
" sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause",negative
bad hair day,negative
"Going out to Miranda shopping centre to spend time with the family, before going away for 2 weeks to Malaysia. Gonna miss them!",negative
 aw man im sorry! I have logical reasoning I promise! I had to study in order to tutor my new student! 4give me,negative
AND I didn`t get the job,negative
 HIII!!!!  i`ve missed you  just bored....what about u?,negative
michael scholfield is no more. He is dead. I am sorry,negative
We`re not gonna be able to talk again,negative
My BFF rocking Hotel California now. No  songs!  done stay the same. What`s next? Hmmm.. Careless whisper!,negative
"But then again I think I`m the only who pays attention to this type of thing, bout to hit this bush and pretend its purple.....",negative
Not looking forward to this long trip in the morning. I`m sick,negative
 That would have been fun BUT we were soooo TIRED yesterday.  Long day at the office. Just did dinner and crashed.,negative
Feeling madly sorry for myself... - ï¿½Iï¿½M SECK D= Make me feel better  I should be going to a fashion show... http://tumblr.com/xz31werch,negative
reyt fancies a valentinos. Worst of times considering i can`t have any,negative
 ya she prob does but i dont want to no about it,negative
Was talking to Vincent  Miss him so baadly.,negative
I`m going to miss my iMac so much over the next month.,negative
 nick`s voice still makes me wanna kill things,negative
"Every time I pay off my library fine, I get a new one.  I`m a bad patron",negative
The Taxi Q at Pelangi was super loooong.. and now I`m getting headaches because of the hot-cold transition,negative
having my hair dyed today  ugh im bored. still tired from friday lol. swear down bossman ;),negative
 its ok..i was kinda feeling ignored anyway  And its sunday arvo 330pm. Going out for Lunch & WINE!,negative
 PC I agree...  We have a problem. We must stop spending and only work!!!,negative
10 minutes to boarding; 14 hours to home. no window seat,negative
 i wish i had friends i could spend the night with,negative
watching missy elliot video collection so sad I was told that I looked like her all through high school,negative
" ooc: thanks! Ugh...what a bad, bad day I`ve had. **** .",negative
"My guitar ain`t herew yet?, feel like i lost a limb!.",negative
 man i need 2 find a siitter Val still aint **** wit me  LOL,negative
 why you stop following me? Was I not cool enough for you?,negative
doesnt want exams next week,negative
 Aww I feel bad for the lil ****. He look like he know what`s coming,negative
so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,negative
"is HOT. Just done some late spring cleaning! About to settle down with a book i can barely read, left my glasses at my mums",negative
Trying to go to sleep but no luck  I think i`m sick... =S,negative
ans so the lion.......kicked the dogs ****!!!!,negative
Revision continues. Getting so bored and tired. I can`t wait to get out and do interesting things. Only a week and half left though,negative
My dreams have been crushed...Spock does not like the ladies.,negative
yeah but i was trying to send a msg to you  :S also trying to put a pic on but it aint happening   do they have to approve it or summit?,negative
Does not feel good at all today,negative
i`m soooo tired i have to study for all of my subjects ..... history is gonna be SO hard!!!! >.< help me!,negative
 man that sucks.,negative
 my internet just crashed  i will ttytomorrow.,negative
"angry, sad, happy, excited, i hate how my moods change  right now i am immensely sad =\",negative
has a tummy ache,negative
headache,negative
i seriously need to live somewhere fabulously queer. i miss being around **** people,negative
"Oh god, I feel like ****.",negative
"No school, again. This time cuz im sick.",negative
"   plus, it is going to clash with ugly betty when channel 4 shows season 3 next month as well. grrr  !",negative
 They better not be out when I get there.  I NEED MY FIX!,negative
never answer me back,negative
Officially drugged up and taking a nap. Allergies ain`t no joke. Never had them this bad since two days ago.,negative
Stupid idiot who ran a stop sing and almost killed me and my car!,negative
Nobody likes to feel low priority.,negative
"is back from a very long day out at Naz. Gunna crash. Up tomorrow for Mothers Day... editing photos from today, hangin with my mom, etc.",negative
is very hungover,negative
 yeah unfortuantley  Sam hanks **** bowl that he like rolled along the floor got me out  grr,negative
"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review.",negative
 Gross! haha it was like the tiniest piece ever but i can taste it like i ate the whole onion eww,negative
"Oops, forgot we are having a barbecue at work today! I didn`t need to pack a lunch after all",negative
watching Jon & Kate plus 8..can`t believe they`re divorcing,negative
looks like it got cloudy again outside! and i have nothing to do tonight! boo friday,negative
 and now they are one. To become a bigger pain.,negative
" Think wearing bermudas at the cinema wasn`t a good idea after all, but outside was humid like cwazy!",negative
 You burned yourself too??? So did ! ohh no...  xoxo,negative
" well you MY man, you and your truck are 900 too many miles away!!",negative
 No but this is our poor week,negative
I hate being sick.  Make me soup?,negative
is sad his new SB6 CD`s got nicked,negative
bored bored bored. nothing to do today besides work at 5,negative
stunning business cards! ashamed of mine  http://bit.ly/zpsQo,negative
Nursing my sick guniea pig back to health  and my cat is being jealous,negative
 That`s the problem. DNS isn`t working  uTorrent and DestroyTwitter are working while everything else is down.,negative
 I was sleep for all that and missed the fun! Hey DG.  lets play another gammme brian,negative
 I think the x3 is confusing ;-) can`t believe that many peeps will know that it should be a heart,negative
 it was way worse than that ...and where were you why didnt you say hello?,negative
stayn @ home from school. sick. doc says I have bronchitis,negative
was laughed at today for being too hopeful with the things...,negative
**** night. want john  where is he?,negative
" Yeah, planning to do that actually. Got a Kinokuniya discount card, so I`m going to splurge.  Just worried about being overwhelmed.",negative
Finally sunny days and I`m too sick to go outside and play.,negative
 Oh no! So sorry about your pets..,negative
 Ok.. so what do you think of a snapshot befoooore the vid recording on Seesmic so the ladies dont look like freaks? just sayin,negative
I shrunk my favourite cardigan.  Hubby said he`d buy me a new one. I practically lived in it and it`s gone. I shall say a few words ;),negative
"Being tall has its ups and downs , my legs are in pain",negative
shud realy go 2 bed  proper tired bt cnt b boverd...x,negative
Creased my nikes!!  ohh well... http://twitpic.com/66zfd,negative
 I`m so sad I wish I was going to,negative
and its over now  watch on now? hmmm,negative
will sleep in a while. still mourning the adobo he cooked.  http://plurk.com/p/x12gf,negative
man i **** up that test  playing cod now . 31 days till the summer !,negative
  I know.  Sorry.,negative
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative
"I`m bored... Don`t want to stay home tonight, but don`t want to spend money  blah",negative
"OMG-ness it`s 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I`m beat.",negative
  I`m sorry.,negative
OMG !! hollyoaks well dramatic  !!!!!!!!!!!!,negative
 OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!,negative
 I think i would die if they played Pushit. I missed them when they came last time. When Isis toured with them,negative
"_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS",negative
The portuguese national library could use it also. Right now they seem to be stuck somewhere circa 1995. Example http://u.nu/7y68,negative
"_SocksO_o: I`m sorry, Shannon.",negative
"... I want to die. I want to TAKE my own life, forever. She`s trying to get me to do a duet.",negative
 the no tweeting guilt trip didn`t stop you huh?  I felt so bad!,negative
I am in so much pain I really don`t feel too good. Couldn`t eat my dinner,negative
 I sound really Brummie lol but most of all I just hate looking at myself!,negative
Working.  I can`t wait till 4:30. Funeral on monday.,negative
"plan may changes , nooooooo",negative
Sunburn is not as fun as I remember,negative
 Well I guess the McCafe=tastes like **** cured ur craving? You get the McSkillet? Me Wants,negative
"Again, I`m stuck in traffic jams ... Somewhat starting to be the same situation every day. That`s sad, really",negative
miss my hubby already!,negative
 I have no IPhone (poor credit!).    But I cannot live without my cell phone! I am on mass transit every day!,negative
"Much to my surprise, I was using my credit card before the crack dawn to do some serious online gambling. One problem: it wasn`t me.",negative
Mourning Venus` Third Round Loss....,negative
 i miss yoooooooooooooooooooou my poia,negative
"yes! its finally friday, and im stuck doing projects",negative
 sigh..... exams aint no wer neaaarr finished!! i have 3 next week...  bin stressd... and i aint guna b bak till end june!,negative
 Just the mother of all bad days,negative
rah rah. youtube isn`t working again. oh great,negative
Exams are so stressful,negative
 http://twitpic.com/45r61 -  saddest thing i`ve seen a while,negative
 uh oh,negative
Chatted with my old schoolmates. Awww  I miss my Highschool.,negative
is sad that shin ae got married...and it wasn`t to alex,negative
showed my fluids decreasing slightly. So doesn`t look like she`s letting me out of this bed anytime soon  I have a follow up U/S next week,negative
"Sad that our neighbors just cut down ALL the trees around their house! It looked so pretty before, and they seemed healthy.  Tragic.",negative
dam it keeps rainin on me,negative
 How would I know if u didn`t tell me??? Too busy cakin to pay me any attention,negative
_juansimon God I`m bored. Wish we could`ve done something 2night!,negative
_dang my phone is still broken.  just come over whenever.,negative
i HATE U.S. history,negative
Off to NC tonight until June 7th! I`m going to miss NYC   Getting ready for my 21st birthday Luau BBQ on JULY 11TH!!!!!!!!,negative
 true that! don`t know why i bothered this morning cos I just put it up in a pony soon as I got to work anyways,negative
 I have that problem with adult shirts too. It`s so annoying since a lot of adult player shirts don`t come in kid sizes,negative
"_beery Yeah little rough this morning but more tonight, and tomorrow night if all goes as planned. Caloric intake off the charts",negative
 haha me tooooo! I miss you I havnt seen you in ages,negative
Reading and taking notes but undertanding none of it  ... HELP!,negative
very disappointed in him    gonna have to sleep it off....,negative
 SHUT YOUR FACE! Why are you so mean to me? Pedro is supposed to be the mean one,negative
To Lisa: Yes I know who ur talking about and yes he is an ****. Dont let him get to ya...you have a great thing going with this chris,negative
"late for   sick kid at home, hope she feels better later tonite",negative
O dnt even like wearing  my skinny jean no more cuz of yall **** **** ni99as...,negative
 ALL white shoes make me cringe  . White shoes give me pause.,negative
 I`m depressed ! I want to know you and kiss you all,negative
" yeah that was me yesterday after i found out the house i want is sold, my bank effed me over and then the car accident",negative
"_juneau I did, until my parents got all f`d up and I started comfort-eating",negative
Just got my marks...  BCIT is the death of me I swear!,negative
sitting at home...need to be pricing the garage sale items...but i have no help so its boring by myself,negative
Ahhhhh! My 'Let The Right One In' DVD broke,negative
can i have some followers :` ( ... i`m so sad...    NOW THAT I`M LOSING HOPE -pressure,negative
shares I miss my niece and nephew. http://tinyurl.com/mrgqdc http://plurk.com/p/x1ap6,negative
 hey how is everything going? please reply back. sometimes i think you hate me because you never reply back to me,negative
 Morrissey cancelled on me,negative
Aww sad  now  stupid crapped up phone and deciding that you would go and screw yourself up and never again work arghhh,negative
" so wish I was there with ya, but at 6:48am Belgian time I was sleeping...time diff sucks. Take me there!",negative
I am so hungry...if my arm were on the core diet I would eat it!  Guess I have to wait until dinner is ready,negative
"Poor  `s mom just told her she looked like a ****.  The skirt wasn`t THAT short, and it`s 87 degrees out!",negative
" i had terrible trouble with `sp` words as a child, would drop the `s` pider, pade etc, needed lessons. bad memories",negative
 is work next door sucking again,negative
 its so sad how dead it is.,negative
Bye bye edinburgh  i don`t want to leave,negative
Bought new racquet for $145... wish this racquet will do the  half and God the rest .well despite recession things are fkin costly,negative
 so sad emma  u sad to be leaving the show? ****,negative
I have to wait until I get home to watch the New Moon trailer clip. Stupid work Internet access restrictions,negative
I know I shouldn`t be saying this but **** it..I`m **** as hell,negative
  My Power was cut off  thats where i went,negative
Picked up Luna from the vet. She looks like she`s been crying  I`m not kidding. Her lashes are wet and she has tear trails. My poor bebe!,negative
Iï¿½m JBobsessed  xD I miss them soooooo much!  They should have a live web cast on bookface ?  EVERY thursday xD,negative
my son got stung by a bug for the first time  his little finger is slightly swollen.,negative
"can`t find my trusty hair tie  My hair will spill all over the place when I run!Mom`s bands doesn`t work for me,normal ones hurt.(((",negative
I sunburnt through factor 30,negative
Almost made it to reading comedy outlet. Headlining all weekend. Only took me 2 extra hours with traffic. Basically doubled my time.,negative
 ommg gurll why aren`t u going how sad,negative
" i was stupid and didnt get it, now i cant find it.  i think i have to do ebay but that scares me",negative
Ugh! I wanna play dnd but i know i`m going to fail this final. I NEED to study,negative
I don`t think I am going to get to see any of the sun today  gutted I NEED COLOUR!,negative
" oh no, you`re gonna have to break up w/your ups guy when you move",negative
 my stupid putet won`t let me go to your chat,negative
 Scary!,negative
Nursing sore back today,negative
"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",negative
@_enzo blech... thats a fail when you`re receiving dollars. I quoted a job in USD last month. i`m getting paid now = major losses,negative
Im @ the dentist  ....scary people here...,negative
Getting ready 2 leave 2 a girl scout metting..Don`t feel like it but I have 2.....,negative
"Installed office for Mac & messed up all my fonts on safari, **** on a stick! help! can`t even read the solutions online  #badmicrosoft",negative
Well. That first tweet for today failed.  lol. Back to sleep or bacon and eggs? So hard to choose!!,negative
The arrival of cargo Red G5 to Toronto has been postponed til tomorrow afternoon.  gonna miss my lil bro`s bday...he`s been waiting 4 me!,negative
 Something like that happened to me once: We closed the side door too hard and the engine locked up,negative
 I`m inclined to think it`s stupid.,negative
 just tried DMing you but it tried to download some strange file so stopped!  How come no gmail MaccyM?  Missing you  SADS!!,negative
_G  ur a poopy head,negative
is now going to see his very ill uncle on saturday and spend the night at his house as even more bad news has come up,negative
sitting in school  sucks to be me!,negative
"_of_max Sadly, no. Now David Tennant has left I don`t particularly want the job anyway",negative
"Missed the WBC counterprotests.  But probably going to WaterFire with Ben, yay!",negative
bahhhh.. cold weather is making my teeth hurt.,negative
 Now that sucks...  P?i ?i s? ï¿½n?eleg c? Jay Leno nu va mai avea o alt? emisiune sau ceva?,negative
is feeling sad  I so dont do goodbye`z!!!!,negative
My poor phone is nekkid without its cover.,negative
I was sleeping soo good but just woke up like 10 mins ago n got sick  not feeling so great. I wanna go back to sleep but I`m wide awake.,negative
"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby",negative
twitter is acting weird,negative
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,negative
the mall i once worked at has turned into a very depressing place,negative
"well,only one week left of my holidays,sad sad",negative
I think I have hayfever. Not sure due to wearing next to nothing in horrific weather on wed.,negative
Strike one.    (Three and I`m out.),negative
_1   is leavin bc of racists *starts cryin*,negative
Just loaned out a set of aerobars to team mate for tomorrow`s Texas Cup race at Alkek. Bummed I won`t be there.,negative
Not a good start to the day left my money at home . So i`ll hot a day me looking for free carparks,negative
I`m taking a twitter break. Cell is dying,negative
 Hiyaa! How was Tour? Really disappointed that I couldn`t make it   Hope your all Dandy ;) xxxxxxxx,negative
My wedding next Thursday and I`m ill,negative
: aww im sorry honey.  that stinks,negative
I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,negative
I need to play inFamous... Where`s a free Blockbuster rental coupon when you need one? I miss that Coke Reward,negative
" It felt nice, but staying outside for too long and your definitely getting burned! Hurricane season is here though",negative
 so jealous,negative
" eesh, sorry to hear that. That isn`t going to make travel to Michigan very fun.",negative
I`m so freaking afraid that once again I`ve managed to stick my foot in my mouth and scare yet another person off . . .,negative
"Hope I`m not coming down with piggy flu, eyes red. Neck no longer holds up heavy head. Time for sleep.  Sogni D`oro all!",negative
", totally worth it!! great movie cool 3D glasses! i miss ya! and i miss   and i miss new york too",negative
 that`s sad,negative
 thats a bummer i haven`t got one yet :/ been waiting over a year  grrrrrrrrrrrrrrr,negative
Kristen i miss you,negative
New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,negative
I keep on falling asleep when I`m suppose to be awake. I miss my babyy..,negative
Never commute in the rain. The people get so much meaner to you.,negative
gotta go twitterers (?) my stupid sister wants to go on facebook  oging to montreal 2morrow so i wont be on for a while! bye!! XoXox <33,negative
#Ajax #php! Just thinking about a concept of autorefresh! _chander made a mistake here,negative
" sux, I`m thinking of being an accountant. Mad monies! I`m a middleschool cafeteria manager  (25k/yr)",negative
i lost my voice . what should i do ? it`s very torture,negative
" that`s family for you  imna crash, woke up 630 3 days in a row....lol",negative
"I have test tomorrow but i dont study, then i go very bad",negative
is not liking the online livebox right now. Internet is dead.,negative
" if I could make it to Philadelphia this year I would be there!! but sadly, i cannot",negative
" haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",negative
I miss Vermont,negative
Awake at 4am..  can`t sleep,negative
Just got back from the grocery store. Now I`m starving and can`t find anything to eat!,negative
